branch_id,branch_name,rating_transaction,rating_branch
63732,Kimia Farma - Klinik & Apotek,3.8958868894601539,4.5
20073,Kimia Farma - Apotek,3.8967828418230552,4.0
93864,Kimia Farma - Klinik-Apotek-Laboratorium,3.8992537313432836,4.5
82157,Kimia Farma - Klinik & Apotek,3.9051470588235286,5.0
62937,Kimia Farma - Klinik-Apotek-Laboratorium,3.9093833780160874,4.8
88478,Kimia Farma - Klinik-Apotek-Laboratorium,3.91953125,4.2
82894,Kimia Farma - Apotek,3.9198044009779931,4.5
51338,Kimia Farma - Klinik & Apotek,3.9212034383954153,4.0
37402,Kimia Farma - Apotek,3.9231362467866346,3.9
12174,Kimia Farma - Apotek,3.9231738035264465,4.7
52356,Kimia Farma - Klinik & Apotek,3.923978201634875,4.0
34490,Kimia Farma - Apotek,3.9264631043256997,4.3
82583,Kimia Farma - Klinik-Apotek-Laboratorium,3.9276595744680858,4.7
87800,Kimia Farma - Klinik-Apotek-Laboratorium,3.9279538904899121,4.6
75569,Kimia Farma - Apotek,3.9296116504854366,4.1
99977,Kimia Farma - Klinik & Apotek,3.9298342541436475,4.7
40291,Kimia Farma - Klinik & Apotek,3.9304347826086969,4.4
85975,Kimia Farma - Klinik-Apotek-Laboratorium,3.9304582210242582,4.9
44567,Kimia Farma - Klinik & Apotek,3.9306024096385572,5.0
13775,Kimia Farma - Apotek,3.9316384180790944,5.0
81512,Kimia Farma - Klinik-Apotek-Laboratorium,3.93252427184466,4.2
49132,Kimia Farma - Klinik-Apotek-Laboratorium,3.9330601092896167,4.8
39388,Kimia Farma - Klinik & Apotek,3.933086419753085,4.2
78847,Kimia Farma - Klinik-Apotek-Laboratorium,3.9334217506631295,4.6
21909,Kimia Farma - Apotek,3.9343324250681162,4.9
43992,Kimia Farma - Klinik-Apotek-Laboratorium,3.9343511450381681,4.1
31872,Kimia Farma - Klinik & Apotek,3.9349593495934947,5.0
27379,Kimia Farma - Klinik-Apotek-Laboratorium,3.9353383458646625,4.5
72718,Kimia Farma - Klinik & Apotek,3.9357512953367877,4.9
68313,Kimia Farma - Apotek,3.9359580052493408,4.8
99191,Kimia Farma - Klinik & Apotek,3.9359712230215824,4.3
86394,Kimia Farma - Klinik & Apotek,3.936572890025575,4.9
57764,Kimia Farma - Klinik-Apotek-Laboratorium,3.9379134860050895,4.4
61289,Kimia Farma - Klinik-Apotek-Laboratorium,3.9394444444444452,4.0
47503,Kimia Farma - Apotek,3.9402500000000011,4.1
42820,Kimia Farma - Apotek,3.940256410256413,4.1
16185,Kimia Farma - Klinik & Apotek,3.9404761904761916,4.3
14798,Kimia Farma - Apotek,3.9407494145199071,4.4
52680,Kimia Farma - Apotek,3.9413533834586461,4.3
56891,Kimia Farma - Klinik-Apotek-Laboratorium,3.94278350515464,4.7
46982,Kimia Farma - Klinik-Apotek-Laboratorium,3.943631436314361,4.1
71722,Kimia Farma - Klinik-Apotek-Laboratorium,3.9442455242966763,4.3
63673,Kimia Farma - Apotek,3.9446194225721802,4.8
52479,Kimia Farma - Klinik-Apotek-Laboratorium,3.9451351351351347,4.4
63863,Kimia Farma - Apotek,3.9451371571072333,4.7
37131,Kimia Farma - Klinik & Apotek,3.945641025641029,4.2
32332,Kimia Farma - Apotek,3.9460465116279071,4.1
85753,Kimia Farma - Klinik-Apotek-Laboratorium,3.9462724935732623,4.4
18454,Kimia Farma - Klinik-Apotek-Laboratorium,3.9466843501326263,4.9
12802,Kimia Farma - Apotek,3.9467914438502691,4.1
78882,Kimia Farma - Klinik & Apotek,3.9468827930174539,4.1
33069,Kimia Farma - Apotek,3.9471751412429374,3.9
40552,Kimia Farma - Apotek,3.9471849865951749,4.6
81008,Kimia Farma - Apotek,3.9473262032085592,4.8
58873,Kimia Farma - Apotek,3.9475935828877,4.8
83273,Kimia Farma - Klinik & Apotek,3.9477386934673397,4.5
56558,Kimia Farma - Klinik & Apotek,3.9479381443298949,3.9
